0.000000,0.000000,0.000000
0.001123,-0.012567,-0.003182
0.002627,-0.017860,-0.002781
0.004437,-0.017241,0.000064
0.006479,-0.012071,0.004215
0.008678,-0.003713,0.008537
0.012118,0.005783,0.015824
0.016833,0.015612,0.025327
0.022597,0.025280,0.035408
0.029185,0.034296,0.044430
0.036368,0.042166,0.050754
0.043921,0.048397,0.052745
0.051617,0.052495,0.048763
0.059229,0.053968,0.037172
0.066531,0.052322,0.016334
0.074317,0.048716,-0.001989
0.082489,0.043785,-0.015842
0.090724,0.038039,-0.025723
0.098700,0.031984,-0.032131
0.106094,0.026128,-0.035563
0.112585,0.020979,-0.036517
0.117850,0.017045,-0.035491
0.121568,0.014833,-0.032983
0.123415,0.014851,-0.029491
0.122763,0.015737,-0.022947
0.119924,0.016802,-0.013832
0.115445,0.017519,-0.003262
0.109872,0.017366,0.007648
0.103751,0.015816,0.017782
0.097630,0.012348,0.026022
0.092055,0.006435,0.031255
0.087572,-0.002447,0.032362
0.084729,-0.014821,0.028229
0.082331,-0.024313,0.021332
0.079982,-0.030112,0.012593
0.077480,-0.032796,0.002549
0.074628,-0.032943,-0.008266
0.071226,-0.031132,-0.019315
0.067074,-0.027941,-0.030064
0.061973,-0.023949,-0.039977
0.055724,-0.019734,-0.048518
0.048127,-0.015874,-0.055152
0.041666,-0.012693,-0.060924
0.036704,-0.010062,-0.065981
0.033071,-0.007737,-0.070249
0.030596,-0.005475,-0.073652
0.029111,-0.003034,-0.076115
0.028447,-0.000170,-0.077563
0.028433,0.003360,-0.077920
0.028901,0.007798,-0.077112
0.029681,0.013388,-0.075062
0.031827,0.018683,-0.072862
0.035413,0.023544,-0.070638
0.040263,0.028159,-0.068273
0.046204,0.032717,-0.065651
0.053062,0.037405,-0.062654
0.060664,0.042411,-0.059167
0.068836,0.047924,-0.055074
0.077403,0.054130,-0.050258
0.086192,0.061219,-0.044602
0.091123,0.066892,-0.037580
0.091982,0.070489,-0.029247
0.089525,0.071758,-0.019805
0.084504,0.070445,-0.009454
0.077674,0.066300,0.001604
0.069789,0.059069,0.013168
0.061604,0.048502,0.025037
0.053871,0.034344,0.037010
0.047346,0.016345,0.048885
0.040963,0.001543,0.059972
0.034809,-0.009245,0.069790
0.029260,-0.016757,0.077914
0.024691,-0.021732,0.083918
0.021478,-0.024909,0.087374
0.019996,-0.027027,0.087857
0.020622,-0.028824,0.084940
0.023730,-0.031039,0.078196
0.029696,-0.034410,0.067201
0.035922,-0.038708,0.056006
0.041773,-0.043580,0.045371
0.047108,-0.048644,0.035232
0.051784,-0.053518,0.025522
0.055659,-0.057821,0.016177
0.058592,-0.061169,0.007132
0.060440,-0.063181,-0.001678
0.061061,-0.063475,-0.010318
0.060314,-0.061669,-0.018853
0.058131,-0.063737,-0.026566
0.054703,-0.069786,-0.033252
0.050281,-0.078454,-0.038837
0.045117,-0.088380,-0.043245
0.039463,-0.098204,-0.046402
0.033573,-0.106563,-0.048232
0.027697,-0.112098,-0.048660
0.022088,-0.113445,-0.047610
0.016999,-0.109246,-0.045008
0.011963,-0.105385,-0.042272
0.006964,-0.102649,-0.039748
0.002097,-0.100547,-0.037516
-0.002542,-0.098589,-0.035654
-0.006857,-0.096284,-0.034243
-0.010752,-0.093141,-0.033360
-0.014131,-0.088670,-0.033086
-0.016899,-0.082381,-0.033499
-0.018960,-0.073782,-0.034679
-0.020066,-0.066372,-0.035307
-0.020105,-0.060532,-0.035679
-0.019003,-0.055866,-0.036497
-0.016682,-0.051979,-0.038460
-0.013067,-0.048473,-0.042268
-0.008081,-0.044953,-0.048621
-0.001647,-0.041023,-0.058219
0.006310,-0.036287,-0.071762
0.015867,-0.030348,-0.089952
0.025384,-0.023830,-0.107367
0.034370,-0.017108,-0.122757
0.042619,-0.010496,-0.135910
0.049926,-0.004310,-0.146613
0.056085,0.001137,-0.154657
0.060892,0.005530,-0.159830
0.064140,0.008555,-0.161920
0.065624,0.009897,-0.160716
0.065138,0.009242,-0.156008
0.064033,0.006543,-0.150728
0.062629,0.002262,-0.145550
0.060993,-0.003014,-0.140579
0.059189,-0.008696,-0.135921
0.057285,-0.014197,-0.131684
0.055344,-0.018928,-0.127974
0.053432,-0.022302,-0.124897
0.051616,-0.023730,-0.122560
0.049961,-0.022624,-0.121070
0.048150,-0.022790,-0.118270
0.046169,-0.024584,-0.114032
0.044082,-0.027499,-0.108730
0.041948,-0.031029,-0.102740
0.039830,-0.034666,-0.096439
0.037791,-0.037905,-0.090200
0.035890,-0.040238,-0.084401
0.034191,-0.041158,-0.079416
0.032755,-0.040160,-0.075622
0.031475,-0.036945,-0.072670
0.029567,-0.032052,-0.067322
